adult,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,release_year,weighted_rating
False,9286,en,Final Destination 3,high school senior wendys premonition of a deadly rollercoaster ride saves her life and a lucky few but not from death itself  which seeks out those who escaped their fate,8.9965,2006-02-09,Final Destination 3,6.152,4528,2006,6.534971268545959
False,1452,en,Superman Returns,superman returns to discover his year absence has allowed lex luthor to walk free and that those he was closest to felt abandoned and have moved on luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever as well as ridding himself of the man of steel,6.528,2006-06-28,Superman Returns,5.802,4528,2006,6.411075526093999
False,36955,en,True Lies,a fearless globetrotting terroristbattling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used car salesman while terrorists smuggle nuclear war heads into the united states,8.188,1994-07-15,True Lies,7.092,4527,1994,6.867702298949116
False,11423,ko,살인의 추억,a sadistic serial rapist and murderer of young women terrorizes a small province in s south korea to prevent further crimes three increasingly desperate detectives with conflicting methods race against time to unravel the violent mind of the killer in a futile effort to solve the case,10.2674,2003-04-25,Memories of Murder,8.057,4527,2003,7.209251820465253
False,417859,en,Puss in Boots,long before he even met shrek the notorious fighter lover and outlaw puss in boots becomes a hero when he sets off on an adventure with the tough and street smart kitty softpaws and the mastermind humpty dumpty to save his town this is the true story of the cat the myth the legend the boots,8.4242,2011-10-27,Puss in Boots,6.593,4522,2011,6.691125931490511
False,493529,en,Dungeons & Dragons: Honor Among Thieves,a charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic but things go dangerously awry when they run afoul of the wrong people,12.2978,2023-03-23,Dungeons & Dragons: Honor Among Thieves,7.3,4520,2023,6.941124856022559
False,9273,en,Ace Ventura: When Nature Calls,summoned from an ashram in tibet ace finds himself on a perilous journey into the jungles of africa to find shikaka the missing sacred animal of the friendly wachati tribe he must accomplish this before the wedding of the wachatis princess to the prince of the warrior wachootoos if ace fails the result will be a vicious tribal war,7.4061,1995-11-10,Ace Ventura: When Nature Calls,6.326,4518,1995,6.5967768385684495
False,387426,en,Okja,a young girl named mija risks everything to prevent a powerful multinational company from kidnapping her best friend  a massive animal named okja,4.6871,2017-06-28,Okja,7.3,4514,2017,6.940956335755223
False,10719,en,Elf,when young buddy falls into santas gift sack on christmas eve hes transported back to the north pole and raised as a toymaking elf by santas helpers but as he grows into adulthood he cant shake the nagging feeling that he doesnt belong buddy vows to visit manhattan and find his real dad a workaholic,6.4395,2003-11-07,Elf,6.666,4509,2003,6.716996765249975
False,406,fr,La Haine,after a chaotic night of rioting in a marginal suburb of paris three young friends vinz hubert and sad wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police,6.1895,1995-05-31,La Haine,8.084,4509,1995,7.217588823124768
False,203833,en,The Book Thief,while subjected to the horrors of wwii germany young liesel finds solace by stealing books and sharing them with others under the stairs in her home a jewish refugee is being sheltered by her adoptive parents,3.9038,2013-11-08,The Book Thief,7.488,4506,2013,7.007071865904333
False,51828,en,One Day,a romantic comedy centered on dexter and emma who first meet during their graduation in  and proceed to keep in touch regularly the film follows what they do on july  annually usually doing something together,6.3505,2011-03-02,One Day,7.411,4501,2011,6.979731635210333
False,8835,en,Legally Blonde,fashionable sorority queen elle woods has it all but she wants nothing more than to be mrs warner huntington iii but he dumps her before heading to harvard law school elle rallies all of her resources and gets into harvard determined to win him back while there she figures out that there is more to herself than just good looks,10.1591,2001-07-13,Legally Blonde,6.805,4498,2001,6.7660339370663705
False,72545,en,Journey 2: The Mysterious Island,sean anderson partners with his moms boyfriend on a mission to find his grandfather who is thought to be missing on a mythical island,7.5463,2012-01-19,Journey 2: The Mysterious Island,6.146,4488,2012,6.534060847003371
False,9820,en,The Parent Trap,hallie parker and annie james are identical twins who were separated at a young age due to their parents divorce unbeknownst to their parents the girls are sent to the same summer camp where they meet discover the truth about their relationship and come up with a plan to switch places in an effort to reunite their mother and father,10.0886,1998-07-28,The Parent Trap,7.21,4487,1998,6.908524084301574
False,1996,en,Lara Croft: Tomb Raider - The Cradle of Life,off the coast of the volcanic island of santorini the intrepid archaeologist lara croft makes the unexpected discovery of a pulsating golden orb able to guide its holder to the mythical pandoras box as the legendary artifact contains ancient mysteries of unfathomable power  said to contain one of the deadliest plagues on earth lara is tasked by mi to make sure it doesnt fall into the wrong hands with the aid of former marine turned mercenary terry sheridan she travels the world in pursuit of the precious item in a race against time she must beat the unscrupulous nobel prizewinning scientist turned bioterrorist jonathan reiss to it,5.5038,2003-07-21,Lara Croft: Tomb Raider - The Cradle of Life,5.756,4485,2003,6.396946713664364
False,9495,en,The Crow,exactly one year after young rock guitarist eric draven and his fiance are brutally killed by a ruthless gang of criminals draven watched over by a hypnotic crow returns from the grave to exact revenge,8.4405,1994-05-11,The Crow,7.515,4484,1994,7.0157393260177585
False,213,en,North by Northwest,advertising man roger thornhill is mistaken for a spy triggering a deadly crosscountry chase,6.7981,1959-08-06,North by Northwest,7.964,4482,1959,7.173554653795
False,4327,en,Charlie's Angels,the captivating crimefighting trio who are masters of disguise espionage and martial arts are back when a devious mastermind embroils them in a plot to destroy individual privacy the angels aided by their loyal sidekick bosley set out to bring down the bad guys but when a terrible secret is revealed it makes the angels targets for assassination,9.7503,2000-11-02,Charlie's Angels,5.852,4480,2000,6.430947430393676
False,57165,en,Wrath of the Titans,perseus tries to live a quieter life as a village fisherman while  dangerously weakened by humanitys lack of devotion  the gods are losing control of the longimprisoned titans and their ferocious leader kronos,7.8039,2012-03-28,Wrath of the Titans,5.759,4480,2012,6.398252859086176
False,12153,en,White Chicks,two fbi agent brothers marcus and kevin copeland accidentally foil a drug bust to avoid being fired they accept a mission escorting a pair of socialites to the hamptonsbut when the girls are disfigured in a car accident they refuse to go left without options marcus and kevin decide to pose as the sisters transforming themselves from black men into rich white women,20.471,2004-06-23,White Chicks,6.93,4474,2004,6.809866651316499
False,985939,en,Fall,for best friends becky and hunter life is all about conquering fears and pushing limits but after they climb  feet to the top of a remote abandoned radio tower they find themselves stranded with no way down now becky and hunters expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements a lack of supplies and vertigoinducing heights,14.9224,2022-08-11,Fall,7.107,4467,2022,6.871908540539086
False,136400,en,2 Guns,a dea agent and an undercover naval intelligence officer who have been tasked with investigating one another find they have been set up by the mob  the very organization the two men believe they have been stealing money from,6.1403,2013-08-02,2 Guns,6.54,4465,2013,6.672973467559063
False,272693,en,The DUFF,biancas universe turns upside down when she learns that her high school refers to her as a duff designated ugly fat friend hoping to erase that label she enlists the help of a charming jock and her favorite teacher together theyll face the schools mean girl and remind everyone that we are all someones duff and thats totally fine,4.3356,2015-02-20,The DUFF,6.759,4465,2015,6.749796556085508
